TF,ES,arg.ES,pVal,numberOfChIPs
HNF4G,0.97522,19,0.01,2
FOXA2,0.99125,8,0,2
ATF3,0.76196,11,0.07,6
TAF1,-0.6299,599,0.22,7
REST,0.50457,10,0.63,10
FOXA1,0.94599,40,0.01,3
JUND,0.40546,13,0.8,10
ZBTB33,0.31178,12,0.94,7
MAX,-0.45474,509,0.59,11
EGR1,-0.3582,476,0.93,6
HNF1A,0.97817,16,0.04,1
YY1,-0.60159,679,0.39,6
NR2F2,0.94015,44,0,3
NR2F6,0.97234,20,0.04,1
HNF4A,0.96642,26,0.01,3
RXRA,-0.37513,622,0.96,4
NFIC,0.42732,23,0.93,3
SP1,-0.61421,589,0.41,5
TCF7,0.60644,27,0.65,2
EP300,-0.42243000000000003,519,0.71,11
MYBL2,0.91108,63,0.05,2
NR5A1,0.95779,30,0.1,1
GATA2,0.36642,437,0.99,3
HHEX,0.95488,32,0.11,1
GFI1,0.95342,33,0.08,1
FOXP1,0.93294,48,0.05,2
TCF12,-0.6054,497,0.49,4
ONECUT1,0.94905,36,0.1,1
MBD4,0.94614,38,0.09,1
SOX13,0.94469,39,0.1,1
TEAD4,0.34402,452,1,2
PAXIP1,0.93886,43,0.13,1
TCF7L2,0.29638,47,0.99,4
FOXJ3,0.9345,46,0.15,1
ASH2L,-0.61151,656,0.48,3
ATF4,0.92868,50,0.09,1
CEBPB,0.39531,418,0.89,5
ZNF609,0.92576,52,0.14,1
THRB,0.92431,53,0.23,1
SOX6,0.79009,146,0.33,2
SMARCC2,0.3965,416,1,2
ARID3A,-0.83212,614,0.13,3
HDAC2,-0.63564,510,0.37,5
MED1,0.91557,59,0.16,1
LCORL,0.91412,60,0.2,1
EZH2,0.55702,307,0.61,4
ONECUT2,0.9083,64,0.15,1
ZEB1,-0.84062,646,0.16,2
PPARG,0.90539,66,0.19,1
KAT2B,0.90393,67,0.18,1
FOXP4,0.90247,68,0.23,1
CREM,-0.89989,672,0.12,2
ZGPAT,0.89956,70,0.17,1
PHF21A,0.89811,71,0.22,1
ZMYM3,0.89665,72,0.26,1
FOXK1,0.8952,73,0.15,1
KMT2A,0.89374,74,0.22,1
ZNF652,0.89229,75,0.24,1
SMAD3,0.89083,76,0.27,1
TFE3,0.88937,77,0.21,1
SSRP1,0.88646,79,0.18,1
RAD21,0.41935,402,0.8,6
SIX1,0.88355,81,0.28,1
ESRRA,0.47959,359,0.88,2
DRAP1,0.87918,84,0.2,1
TBX3,0.86006,98,0.15,2
PHB2,0.87627,86,0.27,1
DMAP1,0.87482,87,0.21,1
MXD4,0.87336,88,0.24,1
CCAR2,0.87191,89,0.16,1
SREBF1,0.4438,384,0.86,3
MEF2A,-0.47732,544,0.84,3
PHF8,-0.91003,662,0.11,2
MLX,0.86608,93,0.24,1
GABPA,-0.69893,593,0.05,9
GTF2F1,-0.78511,554,0.15,4
ZNF175,0.86172,96,0.28,1
HDAC1,0.85735,99,0.26,1
SMC3,-0.35447,301,0.95,4
ARID4A,0.85444,101,0.23,1
PHF5A,0.85298,102,0.35,1
ISL2,0.85153,103,0.28,1
ZNF24,-0.40142,445,0.98,3
LIN54,0.84862,105,0.36,1
PRDM10,0.84716,106,0.44,1
GATA4,0.84571,107,0.36,1
SMARCE1,0.84425,108,0.36,1
KLF6,0.84279,109,0.29,1
ZNF503,0.84134,110,0.29,1
HNF1B,0.83988,111,0.37,1
DLX6,0.83843,112,0.29,1
BRF1,0.83552,114,0.31,1
ZNF217,-0.64373,507,0.61,2
SP5,0.83261,116,0.38,1
ZBTB7B,0.83115000000000006,117,0.39,1
ATM,0.82969,118,0.31,1
ZNF264,0.82824,119,0.42,1
ZBED4,0.82678,120,0.43,1
HOXA3,0.82387,122,0.36,1
ETS1,-0.88563,638,0.08,2
ZNF121,0.82096,124,0.27,1
ZNF274,0.68805,216,0.46,2
NFKBIZ,0.81659,127,0.42,1
NR2C2,0.49708,348,0.69,4
ZNF629,0.81368,129,0.36,1
TFAP4,0.81223,130,0.41,1
SUZ12,-0.47229,368,0.79,5
FOSL2,-0.49995,423,0.92,2
SREBF2,-0.64257,524,0.37,3
KDM3A,0.80349,136,0.35,1
FOXK2,0.49271,350,0.89,2
PLRG1,0.80058,138,0.4,1
HMGXB4,0.70845,202,0.42,2
TBP,-0.87588,608,0.04,4
ETV4,0.7933,143,0.38,1
TFDP2,0.79185,144,0.51,1
ELF1,-0.90544,627,0.01,5
ZBTB21,0.78748,147,0.56,1
HLF,0.78457,149,0.46,1
TBX2,0.78166,151,0.38,1
ZBTB7A,0.7802,152,0.45,1
NBN,-0.8323,586,0.22,2
TRIM22,-0.78523,546,0.15,3
SKI,0.77438,156,0.53,1
SP140L,0.77293,157,0.39,1
PCBP2,0.77147,158,0.4,1
ARNT,-0.69289,496,0.51,2
NFYC,0.76856,160,0.42,1
YBX1,0.5758,293,0.73,2
EZH2_phosphoT487,0.76565,162,0.49,1
ZNF407,0.76419,163,0.48,1
CBFB,-0.95049,660,0.03,2
HNRNPUL1,0.76128,165,0.51,1
ARNTL,-0.52683,391,0.81,2
HSF1,-0.81751,570,0.21,2
ZNF12,0.75691,168,0.57,1
